Date,High,Normalized High,Moving Average,Label,Actual Next Day
1983-01-21,32.25,1.0,0.016666666666666666,1.0,33.75
1983-01-24,33.75,1.0,0.03333333333333333,1.0,35.625
1983-01-25,35.625,1.0,0.05,1.0,35.625
1983-01-26,35.625,1.0,0.06666666666666667,1.0,37.5
1983-01-27,37.5,1.0,0.08333333333333333,0.985,36.9375
1983-01-28,36.9375,0.985,0.09975,0.975,36.5625
1983-01-31,36.5625,0.975,0.116,0.94,35.25
1983-02-01,35.25,0.94,0.13166666666666668,0.935,35.0625
1983-02-02,35.0625,0.935,0.14725000000000002,0.945,35.4375
1983-02-03,35.4375,0.945,0.163,0.95,35.625
1983-02-04,35.625,0.95,0.17883333333333334,0.96,36.0
1983-02-07,36.0,0.96,0.19483333333333336,0.955,35.8125
1983-02-08,35.8125,0.955,0.21075000000000002,0.95,35.625
1983-02-09,35.625,0.95,0.22658333333333333,0.955,35.8125
1983-02-10,35.8125,0.955,0.24250000000000002,0.955,35.8125
1983-02-11,35.8125,0.955,0.2584166666666667,0.955,35.8125
1983-02-14,35.8125,0.955,0.2743333333333334,0.935,35.0625
1983-02-15,35.0625,0.935,0.28991666666666666,0.94,35.25
1983-02-16,35.25,0.94,0.3055833333333334,0.925,34.6875
1983-02-17,34.6875,0.925,0.321,0.93,34.875
1983-02-18,34.875,0.93,0.3365,0.935,35.0625
1983-02-22,35.0625,0.935,0.35208333333333336,0.93,34.875
1983-02-23,34.875,0.93,0.3675833333333333,0.93,34.875
1983-02-24,34.875,0.93,0.38308333333333333,0.935,35.0625
1983-02-25,35.0625,0.935,0.3986666666666666,0.925,34.6875
1983-02-28,34.6875,0.925,0.4140833333333333,0.885,33.1875
1983-03-01,33.1875,0.885,0.42883333333333334,0.88,33.0
1983-03-02,33.0,0.88,0.4435,0.865,32.4375
1983-03-03,32.4375,0.865,0.45791666666666664,0.865,32.4375
1983-03-04,32.4375,0.865,0.47233333333333327,0.88,33.0
1983-03-07,33.0,0.88,0.48699999999999993,0.925,34.6875
1983-03-08,34.6875,0.925,0.5024166666666666,0.94,35.25
1983-03-09,35.25,0.94,0.5180833333333333,0.94,35.25
1983-03-10,35.25,0.94,0.53375,0.93,34.875
1983-03-11,34.875,0.93,0.54925,0.91,34.125
1983-03-14,34.125,0.91,0.5644166666666666,0.9,33.75
1983-03-15,33.75,0.9,0.5794166666666666,0.9,33.75
1983-03-16,33.75,0.9,0.5944166666666665,0.865,32.4375
1983-03-17,32.4375,0.865,0.6088333333333332,0.865,32.4375
1983-03-18,32.4375,0.865,0.62325,0.86,32.25
1983-03-21,32.25,0.86,0.6375833333333333,0.85,31.875
1983-03-22,31.875,0.85,0.6517499999999999,0.86,32.25
1983-03-23,32.25,0.86,0.6660833333333332,0.88,33.0
1983-03-24,33.0,0.88,0.68075,0.925,34.6875
1983-03-25,34.6875,0.925,0.6961666666666666,0.92,34.5
1983-03-28,34.5,0.92,0.7114999999999999,0.91,34.125
1983-03-29,34.125,0.91,0.7266666666666666,0.91,34.125
1983-03-30,34.125,0.91,0.7418333333333332,0.905,33.9375
1983-03-31,33.9375,0.905,0.7569166666666666,0.89,33.375
1983-04-04,33.375,0.89,0.7717499999999998,0.865,32.4375
1983-04-05,32.4375,0.865,0.7861666666666666,0.865,32.4375
1983-04-06,32.4375,0.865,0.8005833333333333,0.87,32.625
1983-04-07,32.625,0.87,0.8150833333333333,0.87,32.625
1983-04-08,32.625,0.87,0.8295833333333332,0.88,33.0
1983-04-11,33.0,0.88,0.84425,0.885,33.1875
1983-04-12,33.1875,0.885,0.8589999999999999,0.895,33.5625
1983-04-13,33.5625,0.895,0.8739166666666666,0.89,33.375
1983-04-14,33.375,0.89,0.8887499999999999,0.89,33.375
1983-04-15,33.375,0.89,0.9035833333333333,0.89,33.375
1983-04-18,33.375,0.89,0.9184166666666667,0.89,33.375
1983-04-19,33.375,0.89,0.9165833333333333,0.89,33.375
1983-04-20,33.375,0.89,0.91475,0.895,33.5625
1983-04-21,33.5625,0.895,0.913,0.9,33.75
1983-04-22,33.75,0.9,0.9113333333333333,0.91,34.125
1983-04-25,34.125,0.91,0.9098333333333333,0.9,33.75
1983-04-26,33.75,0.9,0.9084166666666665,0.895,33.5625
1983-04-27,33.5625,0.895,0.9070833333333332,0.89,33.375
1983-04-28,33.375,0.89,0.90625,0.885,33.1875
1983-04-29,33.1875,0.885,0.9054166666666666,0.875,32.8125
1983-05-02,32.8125,0.875,0.9042499999999999,0.91,34.125
1983-05-03,34.125,0.91,0.9035833333333332,0.965,36.1875
1983-05-04,36.1875,0.965,0.9036666666666665,0.985,36.9375
1983-05-05,36.9375,0.985,0.9041666666666666,0.97,36.375
1983-05-06,36.375,0.97,0.9044999999999999,0.92,34.5
1983-05-09,34.5,0.92,0.9039166666666666,0.92,34.5
1983-05-10,34.5,0.92,0.9033333333333332,0.92,34.5
