Date,High,Normalized High,Moving Average,Label,Actual Next Day
1988-05-02,3.0,1.0,0.016666666666666666,1.0,3.125
1988-05-03,3.125,1.0,0.03333333333333333,1.0,3.125
1988-05-04,3.125,1.0,0.05,0.88,2.75
1988-05-05,2.75,0.88,0.06466666666666666,1.0,3.125
1988-05-06,3.125,1.0,0.08133333333333333,1.0,3.125
1988-05-09,3.125,1.0,0.098,1.0,3.125
1988-05-10,3.125,1.0,0.11466666666666667,1.0,3.125
1988-05-11,3.125,1.0,0.13133333333333333,0.96,3.0
1988-05-12,3.0,0.96,0.14733333333333334,0.88,2.75
1988-05-13,2.75,0.88,0.162,0.96,3.0
1988-05-16,3.0,0.96,0.178,0.88,2.75
1988-05-17,2.75,0.88,0.19266666666666668,0.96,3.0
1988-05-18,3.0,0.96,0.20866666666666667,0.92,2.875
1988-05-19,2.875,0.92,0.224,0.92,2.875
1988-05-20,2.875,0.92,0.23933333333333331,0.84,2.625
1988-05-23,2.625,0.84,0.2533333333333333,0.84,2.625
1988-05-24,2.625,0.84,0.2673333333333333,0.92,2.875
1988-05-25,2.875,0.92,0.2826666666666667,0.86,2.6875
1988-05-26,2.6875,0.86,0.297,0.94,2.9375
1988-05-27,2.9375,0.94,0.3126666666666667,0.88,2.75
1988-05-31,2.75,0.88,0.32733333333333337,0.94,2.9375
1988-06-01,2.9375,0.94,0.343,0.94,2.9375
1988-06-02,2.9375,0.94,0.35866666666666674,1.0,3.25
1988-06-03,3.25,1.0,0.3753333333333334,1.0,3.25
1988-06-06,3.25,1.0,0.39200000000000007,0.8846153846153846,2.875
1988-06-07,2.875,0.8846153846153846,0.40674358974358976,1.0,3.25
1988-06-08,3.25,1.0,0.4234102564102564,1.0,3.25
1988-06-09,3.25,1.0,0.4400769230769231,1.0,3.25
1988-06-10,3.25,1.0,0.45674358974358975,0.9038461538461539,2.9375
1988-06-13,2.9375,0.9038461538461539,0.4718076923076923,1.0,3.25
1988-06-14,3.25,1.0,0.488474358974359,0.9038461538461539,2.9375
1988-06-15,2.9375,0.9038461538461539,0.5035384615384616,0.9038461538461539,2.9375
1988-06-16,2.9375,0.9038461538461539,0.5186025641025641,1.0,3.25
1988-06-17,3.25,1.0,0.5352692307692308,0.9038461538461539,2.9375
1988-06-20,2.9375,0.9038461538461539,0.5503333333333333,0.9038461538461539,2.9375
1988-06-21,2.9375,0.9038461538461539,0.565397435897436,1.0,3.25
1988-06-22,3.25,1.0,0.5820641025641026,1.0,3.375
1988-06-23,3.375,1.0,0.5987307692307693,1.0,3.375
1988-06-24,3.375,1.0,0.6153974358974359,1.0,3.375
1988-06-27,3.375,1.0,0.6320641025641026,0.9074074074074074,3.0625
1988-06-28,3.0625,0.9074074074074074,0.647187559354226,0.9074074074074074,3.0625
1988-06-29,3.0625,0.9074074074074074,0.6623110161443494,0.9074074074074074,3.0625
1988-06-30,3.0625,0.9074074074074074,0.6774344729344729,1.0,3.4375
1988-07-01,3.4375,1.0,0.6941011396011395,0.9090909090909091,3.125
1988-07-05,3.125,0.9090909090909091,0.7092526547526546,1.0,3.4375
1988-07-06,3.4375,1.0,0.7259193214193213,1.0,3.5
1988-07-07,3.5,1.0,0.742585988085988,0.8928571428571429,3.125
1988-07-08,3.125,0.8928571428571429,0.7574669404669404,0.8928571428571429,3.125
1988-07-11,3.125,0.8928571428571429,0.7723478928478928,1.0,3.5
1988-07-12,3.5,1.0,0.7890145595145595,1.0,3.5
1988-07-13,3.5,1.0,0.8056812261812262,0.9285714285714286,3.25
1988-07-14,3.25,0.9285714285714286,0.8211574166574167,1.0,3.5
1988-07-15,3.5,1.0,0.8378240833240833,1.0,3.625
1988-07-18,3.625,1.0,0.85449074999075,0.896551724137931,3.25
1988-07-19,3.25,0.896551724137931,0.8694332787263821,1.0,3.625
1988-07-20,3.625,1.0,0.8860999453930488,0.896551724137931,3.25
1988-07-21,3.25,0.896551724137931,0.901042474128681,0.896551724137931,3.25
1988-07-22,3.25,0.896551724137931,0.9159850028643131,0.896551724137931,3.25
1988-07-25,3.25,0.896551724137931,0.9309275315999452,0.9655172413793104,3.5
1988-07-26,3.5,0.9655172413793104,0.9470194856229337,0.9655172413793104,3.5
1988-07-27,3.5,0.9655172413793104,0.9464447729792556,0.9310344827586207,3.375
1988-07-28,3.375,0.9310344827586207,0.9452953476918993,0.896551724137931,3.25
1988-07-29,3.25,0.896551724137931,0.9435712097608647,0.8275862068965517,3.0
1988-08-01,3.0,0.8275862068965517,0.9426976465424739,0.8275862068965517,3.0
1988-08-02,3.0,0.8275862068965517,0.9398240833240832,0.8275862068965517,3.0
1988-08-03,3.0,0.8275862068965517,0.9369505201056925,0.8275862068965517,3.0
1988-08-04,3.0,0.8275862068965517,0.9340769568873016,0.8275862068965517,3.0
1988-08-05,3.0,0.8275862068965517,0.9312033936689109,0.8275862068965517,3.0
1988-08-08,3.0,0.8275862068965517,0.9289964971171868,0.8275862068965517,3.0
1988-08-09,3.0,0.8275862068965517,0.9281229338987961,0.896551724137931,3.25
1988-08-10,3.25,0.896551724137931,0.9270654626344281,0.8275862068965517,3.0
1988-08-11,3.0,0.8275862068965517,0.9261918994160374,0.8275862068965517,3.0
1988-08-12,3.0,0.8275862068965517,0.9239850028643133,0.896551724137931,3.25
1988-08-15,3.25,0.896551724137931,0.923594198266612,0.8448275862068966,3.0625
1988-08-16,3.0625,0.8448275862068966,0.9223413247033937,0.7586206896551724,2.75
1988-08-17,2.75,0.7586206896551724,0.9209850028643132,0.7586206896551724,2.75
1988-08-18,2.75,0.7586206896551724,0.9196286810252327,0.8275862068965517,3.0
1988-08-19,3.0,0.8275862068965517,0.9180884511401752,0.7586206896551724,2.75
1988-08-22,2.75,0.7586206896551724,0.9163987959677615,0.7586206896551724,2.75
1988-08-23,2.75,0.7586206896551724,0.9133758074620144,0.7586206896551724,2.75
1988-08-24,2.75,0.7586206896551724,0.9113528189562673,0.7586206896551724,2.75
1988-08-25,2.75,0.7586206896551724,0.9083298304505203,0.7586206896551724,2.75
1988-08-26,2.75,0.7586206896551724,0.9053068419447732,0.8275862068965517,3.0
1988-08-29,3.0,0.8275862068965517,0.9024332787263825,0.7586206896551724,2.75
1988-08-30,2.75,0.7586206896551724,0.8984102902206353,0.8103448275862069,2.9375
1988-08-31,2.9375,0.8103448275862069,0.8971724476034824,0.7586206896551724,2.75
1988-09-01,2.75,0.7586206896551724,0.8931494590977352,0.8275862068965517,3.0
1988-09-02,3.0,0.8275862068965517,0.8902758958793445,0.7586206896551724,2.75
1988-09-06,2.75,0.7586206896551724,0.8862529073735974,0.7586206896551724,2.75
