Date,High,Normalized High,Moving Average,Label,Actual Next Day
1992-02-13,2.09375,1.0,0.016666666666666666,1.0,2.28125
1992-02-14,2.28125,1.0,0.03333333333333333,1.0,2.28125
1992-02-18,2.28125,1.0,0.05,0.9452054794520548,2.15625
1992-02-19,2.15625,0.9452054794520548,0.06575342465753424,1.0,2.28125
1992-02-20,2.28125,1.0,0.0824200913242009,1.0,2.28125
1992-02-21,2.28125,1.0,0.09908675799086758,1.0,2.3125
1992-02-24,2.3125,1.0,0.11575342465753424,1.0,2.3125
1992-02-25,2.3125,1.0,0.1324200913242009,1.0,2.34375
1992-02-26,2.34375,1.0,0.14908675799086757,1.0,2.4375
1992-02-27,2.4375,1.0,0.16575342465753423,1.0,2.59375
1992-02-28,2.59375,1.0,0.18242009132420092,1.0,2.609375
1992-03-02,2.609375,1.0,0.19908675799086759,0.9820359281437125,2.5625
1992-03-03,2.5625,0.9820359281437125,0.21545402345992945,0.9700598802395209,2.53125
1992-03-04,2.53125,0.9700598802395209,0.23162168813058814,0.9700598802395209,2.53125
1992-03-05,2.53125,0.9700598802395209,0.24778935280124684,0.9341317365269461,2.4375
1992-03-06,2.4375,0.9341317365269461,0.26335821507669593,0.9341317365269461,2.4375
1992-03-09,2.4375,0.9341317365269461,0.278927077352145,0.9341317365269461,2.4375
1992-03-10,2.4375,0.9341317365269461,0.2944959396275941,0.9700598802395209,2.53125
1992-03-11,2.53125,0.9700598802395209,0.31066360429825285,0.9700598802395209,2.53125
1992-03-12,2.53125,0.9700598802395209,0.3268312689689115,0.9820359281437125,2.5625
1992-03-13,2.5625,0.9820359281437125,0.3431985344379734,0.9820359281437125,2.5625
1992-03-16,2.5625,0.9820359281437125,0.3595657999070353,0.9820359281437125,2.5625
1992-03-17,2.5625,0.9820359281437125,0.37593306537609716,0.9461077844311377,2.46875
1992-03-18,2.46875,0.9461077844311377,0.3917015284499495,0.9820359281437125,2.5625
1992-03-19,2.5625,0.9820359281437125,0.40806879391901135,0.9700598802395209,2.53125
1992-03-20,2.53125,0.9700598802395209,0.42423645858967,0.9640718562874252,2.515625
1992-03-23,2.515625,0.9640718562874252,0.44030432286112714,0.9640718562874252,2.515625
1992-03-24,2.515625,0.9640718562874252,0.4563721871325842,0.9700598802395209,2.53125
1992-03-25,2.53125,0.9700598802395209,0.4725398518032429,0.9281437125748503,2.421875
1992-03-26,2.421875,0.9281437125748503,0.4880089136794904,0.9580838323353293,2.5
1992-03-27,2.5,0.9580838323353293,0.5039769775517459,0.9580838323353293,2.5
1992-03-30,2.5,0.9580838323353293,0.5199450414240014,0.9580838323353293,2.5
1992-03-31,2.5,0.9580838323353293,0.5359131052962568,0.9580838323353293,2.5
1992-04-01,2.5,0.9580838323353293,0.5518811691685123,0.9580838323353293,2.5
1992-04-02,2.5,0.9580838323353293,0.5678492330407677,0.9580838323353293,2.5
1992-04-03,2.5,0.9580838323353293,0.5838172969130232,0.9580838323353293,2.5
1992-04-06,2.5,0.9580838323353293,0.5997853607852786,0.9820359281437125,2.5625
1992-04-07,2.5625,0.9820359281437125,0.6161526262543404,0.9580838323353293,2.5
1992-04-08,2.5,0.9580838323353293,0.6321206901265959,0.9700598802395209,2.53125
1992-04-09,2.53125,0.9700598802395209,0.6482883547972544,0.9700598802395209,2.53125
1992-04-10,2.53125,0.9700598802395209,0.6644560194679131,0.9700598802395209,2.53125
1992-04-13,2.53125,0.9700598802395209,0.6806236841385718,0.9700598802395209,2.53125
1992-04-14,2.53125,0.9700598802395209,0.6967913488092303,0.9580838323353293,2.5
1992-04-15,2.5,0.9580838323353293,0.7127594126814858,0.9580838323353293,2.5
1992-04-16,2.5,0.9580838323353293,0.7287274765537413,0.9221556886227545,2.40625
1992-04-20,2.40625,0.9221556886227545,0.7440967380307871,0.9101796407185628,2.375
1992-04-21,2.375,0.9101796407185628,0.7592663987094298,0.9461077844311377,2.46875
1992-04-22,2.46875,0.9461077844311377,0.7750348617832821,0.9281437125748503,2.421875
1992-04-23,2.421875,0.9281437125748503,0.7905039236595296,0.9341317365269461,2.4375
1992-04-24,2.4375,0.9341317365269461,0.8060727859349786,0.9341317365269461,2.4375
1992-04-27,2.4375,0.9341317365269461,0.8216416482104276,0.8982035928143712,2.34375
1992-04-28,2.34375,0.8982035928143712,0.8366117080906671,0.8982035928143712,2.34375
1992-04-29,2.34375,0.8982035928143712,0.8515817679709066,0.8982035928143712,2.34375
1992-04-30,2.34375,0.8982035928143712,0.866551827851146,0.8862275449101796,2.3125
1992-05-01,2.3125,0.8862275449101796,0.8813222869329824,0.8862275449101796,2.3125
1992-05-04,2.3125,0.8862275449101796,0.8960927460148187,0.8622754491017964,2.25
1992-05-05,2.25,0.8622754491017964,0.9104640034998486,0.8622754491017964,2.25
1992-05-06,2.25,0.8622754491017964,0.9248352609848784,0.8383233532934131,2.1875
1992-05-07,2.1875,0.8383233532934131,0.938807316873102,0.8622754491017964,2.25
1992-05-08,2.25,0.8622754491017964,0.9531785743581319,0.8622754491017964,2.25
1992-05-11,2.25,0.8622754491017964,0.9508831651764952,0.8982035928143712,2.34375
1992-05-12,2.34375,0.8982035928143712,0.9491865583900679,0.8862275449101796,2.3125
1992-05-13,2.3125,0.8862275449101796,0.9472903508052376,0.8562874251497006,2.234375
1992-05-14,2.234375,0.8562874251497006,0.9458083832335317,0.8502994011976048,2.21875
1992-05-15,2.21875,0.8502994011976048,0.9433133732534917,0.8502994011976048,2.21875
1992-05-18,2.21875,0.8502994011976048,0.9408183632734518,0.8502994011976048,2.21875
1992-05-19,2.21875,0.8502994011976048,0.9383233532934118,0.8622754491017964,2.25
1992-05-20,2.25,0.8622754491017964,0.936027944111775,0.8263473053892215,2.15625
1992-05-21,2.15625,0.8263473053892215,0.9331337325349287,0.8023952095808383,2.09375
1992-05-22,2.09375,0.8023952095808383,0.929840319361276,0.7425149700598802,1.9375
1992-05-26,1.9375,0.7425149700598802,0.9255489021956074,0.7664670658682635,2.0
1992-05-27,2.0,0.7664670658682635,0.921656686626745,0.7664670658682635,2.0
1992-05-28,2.0,0.7664670658682635,0.9180638722554876,0.7305389221556886,1.90625
1992-05-29,1.90625,0.7305389221556886,0.9140718562874237,0.7305389221556886,1.90625
1992-06-01,1.90625,0.7305389221556886,0.91007984031936,0.7305389221556886,1.90625
1992-06-02,1.90625,0.7305389221556886,0.9066866267465057,0.7305389221556886,1.90625
1992-06-03,1.90625,0.7305389221556886,0.9032934131736514,0.718562874251497,1.875
1992-06-04,1.875,0.718562874251497,0.899700598802394,0.718562874251497,1.875
1992-06-05,1.875,0.718562874251497,0.895508982035927,0.7305389221556886,1.90625
1992-06-08,1.90625,0.7305389221556886,0.8915169660678631,0.718562874251497,1.875
1992-06-09,1.875,0.718562874251497,0.8871257485029929,0.718562874251497,1.875
1992-06-10,1.875,0.718562874251497,0.8827345309381227,0.718562874251497,1.875
1992-06-11,1.875,0.718562874251497,0.8783433133732524,0.718562874251497,1.875
1992-06-12,1.875,0.718562874251497,0.8745508982035919,0.6946107784431138,1.8125
1992-06-15,1.8125,0.6946107784431138,0.8697604790419152,0.6826347305389222,1.78125
1992-06-16,1.78125,0.6826347305389222,0.8649700598802387,0.6706586826347305,1.75
1992-06-17,1.75,0.6706586826347305,0.8600798403193604,0.6526946107784432,1.703125
1992-06-18,1.703125,0.6526946107784432,0.8548902195608773,0.6706586826347305,1.75
1992-06-19,1.75,0.6706586826347305,0.8499001996007975,0.6706586826347305,1.75
1992-06-22,1.75,0.6706586826347305,0.8456087824351288,0.6586826347305389,1.71875
1992-06-23,1.71875,0.6586826347305389,0.8406187624750491,0.6526946107784432,1.703125
1992-06-24,1.703125,0.6526946107784432,0.8355289421157676,0.6706586826347305,1.75
1992-06-25,1.75,0.6706586826347305,0.830738522954091,0.6347305389221557,1.65625
1992-06-26,1.65625,0.6347305389221557,0.8253493013972049,0.6107784431137725,1.59375
1992-06-29,1.59375,0.6107784431137725,0.8195608782435123,0.6107784431137725,1.59375
1992-06-30,1.59375,0.6107784431137725,0.8137724550898198,0.6227544910179641,1.625
1992-07-01,1.625,0.6227544910179641,0.8081836327345304,0.6467065868263473,1.6875
